direction,cid,name,aliases
pokrovsk,593918102361721987,pokrovsk,krasnoarmeysk;krasnoarmiisk;krasnoarmiysk;pokrovsk
preobrazhenka,584922538169813043,preobrazhenka,chervonyi chaban;preobrazhenka;preobrazhyenka
rivnopil,590801089976248563,rivnopil,rivnopil;rovnopol
rozdolivka,596169704606114186,rozdolivka,razdolovka;rozdolivka;rozdolovka
serebrianka,582567783694972278,serebrianka,serebranka;serebrianka;serebryanka
serhiivka,585403269564850080,serhiivka,sergeevka;sergeyevka;sergiyivka;serhiivka;serhiovka
shevchenko,591268111831464945,shevchenko,shevchenko;shevchenkove;shevchenkovo
shevchenkivske,593124074574260570,shevchenkivske,ordzhonikidze;shevchenkivske;shevchenkovskoe;shevchenkovskoye
solodke,591801568248376061,solodke,sladkoe;solodke
spirne,602833402199392934,spirne,spirne;spornoe
staromaiorske,591644329494970580,staromaiorske,staromaiorske;staromayorskoe
staromlynivka,591399181351690919,staromlynivka,staromlynivka;staromlynovka
stelmakhivka,599059912655175345,stelmakhivka,stelmakhivka;stelmakhovka
stepove,580466668514293968,stepove,stepnoe;stepove;stepovoe;stepovoye
storozheve,591842151393663273,storozheve,storozheve;storozhevoe;storozhove;storozhyevoe
synkivka,600277170811170081,synkivka,sinkovka;synkivka;synkovka
terny,596871407772570572,terny,terny
tiahynka,588063106748537631,tiahynka,tiahynka;tjahynka;tyaginka;tyahynka
urozhaine,588277350009401400,urozhaine,urozhaine;urozhaynoe
vesele,579854515415599540,vesele,vesele;veseloe;veseloye;veselye;vesyoloe
vodiane,592010771806952365,vodiane,vodiane;vodianoe;vodyane;vodyanoe;vodyanoye
volodymyrivka,591210211377323723,volodymyrivka,vladimirovka;volodymirivka;volodymyrivka;volodymyrovka
yakovlivka,595144212442183431,yakovlivka,yakovlevka;yakovlivka;yakovlovka
zahirne,591492248287495914,zahirne,zaghirne;zagirne;zagornoe;zagornoye;zagornye;zahirne
zelenyi hai,601040592657685436,zelenyi hai,zelenyi gay;zelenyi hai;zelenyy gai;zelenyy gay;zelenyy hai;zelyony gay;zelyonyy gay
zmiivka,587803434728209638,zmiivka,zmievka;zmiivka;zmiovka
zolochiv,602517546010124283,zolochiv,zolochev;zolochiv
zoriane,582367994700835047,zoriane,zoriane;zorianoe;zoryane;zoryanoe;zoryanoye
zaitseve,582139382181418448,zaitseve,zaitseve;zaytsevo
zarichne,601737373791605873,zarichne,petrivske;zarechnoe;zarichne
zahorivka,607838340472495646,zahorivka,zagorovka;zahorivka;zahorovka
yahidne,599832298098866530,yahidne,yagodnoe;yahidne
yurivka,594549965064907206,yurivka,urevka;yurevka;yurivka;yurovka
zelenopillia,594730929218247361,zelenopillia,zelenopillia;zelenopole
zaitseve,594427210605973950,zaitseve,zaitseve;zaitseve (horlivka);zaytsevo
zolochivske,600862669340949865,zolochivske,zolochevskoe;zolochivske;zolochovskoye
zelenivka,598466429777659327,zelenivka,zelenivka;zelenovka
krasne,584657375478061386,krasne,krasne;krasnoe;krasnoye
krasnopillia,597698133141373366,krasnopillia,krasnopillia;krasnopillya;krasnopole;krasnopolie
krynky,587321655361269753,krynky,krinky;krynki;krynky
kyrylivka,599243501029949899,kyrylivka,kirilovka;kyrylivka;kyrylovka
kurakhove,592696244295656061,kurakhove,kurakhove;kurakhovo
lysychansk,596568518091392295,lysychansk,lisichansk;lusychansk;lysychansk
malynivka, 585842640424873142,,nan
myrne,596418400392434026,myrne,mirne;mirnoe;mirnoye;myrne;petrivske;petrovskoe;petrovskoye
mykolaivka,600218256744000128,mykolaivka,mykolaevka;mykolaivka;mykolayivka;nikolaevka;nikolayevka
nadiia,591232210199577419,nadiia,nadezda;nadezhda;nadiia;nadiya
nevelske,592964340449537422,nevelske,nevelske;nevelskoe
balka zhuravka,580799658714843658,balka zhuravka,balka zhuravka;nevske;nevskoe
nove,591857407113805512,nove,nove;novoe;novoye
novoiehorivka,597904901458268113,novoiehorivka,novoegorovka;novoiehorivka;novoiehorovka
novoliubivka,597669292439087074,novoliubivka,novoliubivka;novoliubovka;novolubivka;novolubovka;novolyubovka
novomaiorske,591553662735598779,novomaiorske,novomaiorske;novomayorskoe
novomykhailivka,585146731168584440,novomykhailivka,novo mykhailivka;novomikhaylivka;novomikhaylovka;novomykhailivka;novomykhailovka
novovodiane,598164094146495228,novovodiane,novovodiane;novovodyanoe
petropavlivka,585260436131427094,petropavlivka,petropavlivka;petropavlovka
pletenivka,602732968685739087,pletenivka,pletenevka;pletenivka;pletenovka
plyashevka,602699833001371120,plyashevka,pliashivka;plyashevka;płaszówka
pisky,601200494290733957,pisky,peschki;peshki;peski;pisky
pisky-radkivski,598140201243015878,pisky-radkivski,peski radkovskie;piski radkivski;pisky radkivski;pisky radkovski
ploshchanka, 597897282188193674,,nan
prudianka,602331642645871773,prudianka,prudianka;prudinka;prudjanka;prudyanka;prudynky
prymorske,584357788624890430,prymorske,primorskoe;primorskoye;prymorske
sablukivka,588936348316851313,sablukivka,sablukivka;sablukovka
shyroka balka,586641899476342547,shyroka balka,shirokaya balka;shyroka balka
sosnove,597313613312002897,sosnove,sosnove;sosnovoe
tokmak, 589505818032567845,,nan
tomyna balka,586801985792477935,tomyna balka,tomina balka;tomyna balka
torske,595060159935780530,torske,torske;torskoe
urozhaine, 591644849186038459,,nan
vovchansk, 602520011322315507,,nan
zaitseve, 594427210605973950,,nan
